property_name,link,society,price,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,property_id,rate,noOfFloor
"4 Bedroom House for sale in Kanakapura Road, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sattva-springs-kanakapura-road-bangalore-south-3607-sqftto-5236-sqft-npspid-G90773838,Sattva Springs,₹4.99  - 7.28 Cr,"3,607-5,236 sqft",4 Bedrooms,,,,"Kanakapura Road, Bangalore",,Under Construction,"['DSATM', 'Sri Sri Ayurveda Hospital', 'Vallabha International School', 'Bangalore City Junction', 'Kempegowda International Airport', 'Forum South Bengaluru', 'NH 948', 'Silk Institute Metro Station', 'Wonderla Amusement Park', 'JGI Golf Course']","Lavish, is the only way to describe these beautiful 4bhk villas in kanakapura road, bangalore south. Sattva springs built by sattva group have everything you would ever expect in a true luxury accommodation. Extended over a wide area, the architecture and attention to detail put them in a class by themselves. These homes are recognized by karnataka rera and built with all essential amenities.",[],[],"['Connectivity4.4 out of 5', 'Lifestyle4.3 out of 5', 'Safety4.2 out of 5', 'Green Area4.2 out of 5']",G90773838,"₹13,918 /sqft",
"5 Bedroom House for sale in Sarjapur Road, Bangalore",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-grand-la-palazzo-sarjapur-road-bangalore-east-2800-sqftto-3500-sqft-npspid-B90696290,Grand La Palazzo,₹2.94  - 3.67 Cr,"2,800-3,500 sqft",,,,,"Sarjapur Road, Bangalore",,Under Construction,"['Marathahalli Highway NH 44', 'Manipal Hospital', 'Total Mall', 'ORCHIDS The International School', 'IndiQube Edge Office Complex', 'Whitefield  Metro Station', 'Courtyard by Marriott Bengaluru\xa0Hotel', 'Bellandur Railway Station', 'ASC Golf Course', 'Christ University', 'Kempegowda International Airport']","Tbc grand lapalazzo is a residential development in anekal, bangalore. The project is built by tbc homes infra corp",[],[],"['Connectivity4.3 out of 5', 'Lifestyle4.3 out of 5', 'Safety4.2 out of 5', 'Green Area4 out of 5']",B90696290,"₹10,500 /sqft",
"3 Bedroom House for sale in Horamavu, Bangalore",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-horamavu-bangalore-east-3100-sqft-spid-B88305492,"Horamavu, Bangalore, Bangalore East",4.7 Crore,Plot area 1500(139.35 sq.m.)Built-up area: 3100 sqft (288 sq.m.),3 Bedrooms,3 Bathrooms,3 Balconies,,"Horamavu Agara, Horamavu, Bangalore, Horamavu, Bangalore",,10+ Year Old,"['Temple', 'Shiva', 'Hanuman Temple', 'Hanuman', 'Gethseman Sungji Church', 'Om Shakti Temple', 'Ganesha Temple', 'Ganesha temple', 'Hdfc ATM', 'Geriatric Hospitals', 'Sri Venkateshwara Clinic', ""Dr. Sailaja's Super Speciality Eye Hospital"", ""Arjun's Child Care Clinic"", 'Urban Kids Clinic', 'Nava Chaithanya Clinic', 'Karunya Homoeopathy Centre', ""People's Clinic"", 'Stroke Treatment Paralysis', ""The Children's Clinic"", ""Women's Speciality Polyclinic"", 'Lifespan Diabetic Clinic', 'Motherhoodclinic', 'Jaya Dental Clinic', 'Shubham Ayurvedic Clinic', 'Veterinary Hospital', 'Maneet Poly Clinic', 'Eshawar HospItal', 'R K Polyclinic', 'Asesh Dental Clinic', 'Bhagat Dental Clinic', 'Bhagat Dental Clinic', 'Cloudnine Hospital', ""Maruthi Medical's"", 'MedPlus', 'Dava Sagar', 'Chandru Medicals and General Stores', 'Maruthi Medicals', 'Apollo', 'State bank of india', 'Biryani House', 'Kalleshwari Rice corner', 'Ruchi', 'Ifun', 'Starbucks', 'Sweet Chariot Cafe', 'Chung Wak', 'Orchids The International School - Horamavu', 'Sunshine Childrens Home and School', 'St George High School', 'ProEmTech Infosytems Pvt. Ltd.']","Independent villa
An impeccable opportunity is here for those who are looking to own aesthetically designed independent villa in , horamavu, bangalore which ensures a relaxed and comfortable stay. Being an independent villa it provides you a serene and tranquil environment with a modern setup. This villa provides ample natural light and has good ventilation that invites comfort.Basic details:
You will love this villa which is constructed on a built up area of of 3000 sq.Ft. And features 3 bedrooms, 3 bathroom and 3 balcony and a modular kitchen. The villa is beautifully landscaped with garden.Location:
The property is close to all basic facilities. The villa is situated in a family friendly neighborhood. Moreover, the property has great connectivity with other parts of the city.-Major banks and atms located within a close radius
-Several schools located within proximity
-Easy access to public transportWait no more and schedule a visit today.
For more information, kindly contact the owner.","['Light', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage']","['Connectivity4.2 out of 5', 'Lifestyle4.1 out of 5', 'Safety4 out of 5', 'Green Area4.1 out of 5']",B88305492,"₹15,161 /sqft",1 Floors
"3 Bedroom House for sale in Sarjapur, Bangalore",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-azven-breathe-sarjapur-bangalore-east-2238-sqft-spid-P90131404,Azven Breathe,2.99 Crore,Plot area 1800(167.23 sq.m.)Built-up area: 2238 sqft (207.92 sq.m.),3 Bedrooms,4 Bathrooms,3 Balconies,"Others,Pooja Room","Sarjapur, Bangalore",West,1 to 5 Year Old,[],"Premium 3 bhk villa with private land in azven breathe, sarjapur no brokerage | save ~3 lakhs |best investmentDescription:
Looking for a home that is also a strong long-Term asset? This is a rare opportunity.This is a 3 bhk modern semi-Furnished villa in azven breathe, sarjapur, built on ~1800 sq.Ft of private land. Unlike apartments, here you own the land, which continues to appreciate over time. In bangalore, land is the real value making this property ideal for both end-Use and future investment for your family.Exact location (Google map): The villa is ready to move in and designed for comfortable living with excellent ventilation and open spaces.Villa highlights (What you actually get):
 3 bhk with modern semi-Furnished interiors
 4 bathrooms (Ideal for families)
 3 balconies with great natural light & ventilation
 Private living room + spacious living & dining area
 Private terrace for personal use
 Top floor large store room (Rare & very useful)
 Non-Sharing walls full privacy like independent house
 Private garden + free open backyard space
 Scope for internal modifications can extend usable space up to ~2800 sq.Ft (As per permissible temporary structures) Key advantage: Villa + land ownership + expansion flexibility (Not possible in apartments)Why this property is a smart buy:
 You own ~1800 sq.Ft land long-Term appreciating asset
 Villa properties have better long-Term value vs apartments
 Ideal for end-Use + next generation living
 Located in a high-Growth sarjapur areaPremium gated community lifestyle:
 Large clubhouse with snooker, tt, foosball, squash & private theater
 Fully equipped gym, yoga & activities room
 Party hall, big library, salon & grocery store inside society
 Big swimming pool + kids pool + jacuzzi
 Tennis court, amphitheater & multiple children play areas
 Wide roads, walkways & lush green landscaped spaces
 Every villa has private greenery & peaceful surroundings
 24x7 security, power backup & water supplyDaily living convenience:
 Easily available maid, cook, gardener & car cleaning services
 10-Minute delivery via blinkit, swiggy, zomato, bigbasketLocation advantage:
 Prime sarjapur location with strong future growth
 Near indus international school
 Close to upcoming 1000-Acre it park
 Near proposed hosur international airport
 Electronic city ~35 mins (Hosur road)
 Bellandur ~45 mins (Sarjapur road)Direct owner sale (Big saving):
 No brokerage direct deal with owner
 Direct buyers get additional ~1% benefit (~3 lakhs)
 Can be used towards registration cost savingFinal thought:
In bangalore, apartments depreciate over time, but land keeps appreciating.
This is a rare chance to own a villa + land in a premium gated community perfect for both living and long-Term wealth creation. Serious buyers can contact the owner directly and plan a visit.","['5 Wardrobe', 'Fan', '3 Geyser', '1 Stove', 'Light', '1 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"['Connectivity4.2 out of 5', 'Lifestyle4.2 out of 5', 'Safety4.1 out of 5', 'Green Area4.1 out of 5']",P90131404,"₹13,360 /sqft",2 Floors
"3 Bedroom House for sale in Sahakara Nagar, Near Hebbal, Bangalore",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sahakara-nagar-bangalore-north-2800-sqft-spid-K87875046,"Sahakara Nagar, Near Hebbal, Bangalore, Bangalore North",7 Crore,Plot area 1952(181.35 sq.m.)Built-up area: 2800 sqft (260.13 sq.m.),3 Bedrooms,3 Bathrooms,2 Balconies,,"Sahakara Nagar, Near Hebbal, Bangalore",South-East,10+ Year Old,"['Anjaneya Hanuman Temple', 'Ganapati Temple', 'Union bank ATM', 'Icici ATM', 'North Side Hospital And Diagnostic Centre', 'Dental Concepts', 'Dental Conceptz', 'Venus Bone & Joint Centre', 'Mediplus Medical Store', 'Apollo Pharmacy', 'Sri Srinivasa Medical Centre', 'Hindustan Petroleum', 'Shell Ganesh Enterprises', 'The janatha co-op bank ltd', 'Bank of india', 'Indusind bank', 'Hdfc bank', 'Icici bank', 'Canara bank', 'Allahabad bank', 'Vijaya bank', 'Uco bank', 'Sri sudha co-operative bank ltd', 'New Kritunga Restaurant', 'tuc inn', 'Hyderabad Biryani', 'Swathi garden', 'Adigas', 'Freska', 'Thalaserri Restaurant', 'Bigstraw Blast', 'Lavazza', 'The Druid Garden', 'Knopcha', 'rara avis', 'Watsons', 'Druid Garden', 'Svensens Icrecream', 'New Shanti Sagar', ""Domino's Pizza"", 'Breadworks', 'Sanjay Food Junction', 'Balaji Andhra Mess', 'Sri Vinayaka Hot Chips', 'Udupi Garden', 'Nathaniel School of Music', 'Cauvery School', 'Green Country Public School', 'Oi Playschool', 'Sharada School']","This 3 bhk house for sale in sahakara nagar, a well planned locality in bangalore north, is ideal for a family that is looking for complete peace of mind. Containing 3 bedrooms, 3 bathrooms and 2 balconies, this independent house is spread over a super built up area of 1952 sq.Ft. There are 2 covered & 3 open parking available with this house. This is a ready to move house, which is 10+ years old. The ownership right of this property is freehold. This independent house is available at an attractive price of 7 crore. The independent house provides access to clean water through borewell/tank supply. This independent house is facing the south-East direction. The beautifully designed vitrified flooring enhances the beauty of this independent house.Solar power also available.Corner property,centrally located, semi commercial, proximity to market/business area. 400 mtrs to upcoming metro on airport road nh44. Ideal for corporate guest house, pilot/doctors transit house. Suitable as office space for architects,advocates,cas,doctors or consulting firms.","['3 Bed', '2 Wardrobe', 'Fan', '1 Geyser', 'Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",[],"['Connectivity4.3 out of 5', 'Lifestyle4.3 out of 5', 'Safety4.3 out of 5', 'Green Area4.4 out of 5']",K87875046,"₹25,000 /sqft",2 Floors
"4 Bedroom House for sale in Chikka Tirupathi, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-the-empyrean-chikka-tirupathi-kolar-5000-sq-ft-r1-spid-U75470521,The Empyrean,4 Crore,Plot area 4500(418.06 sq.m.)Built-up area: 5000 sqft (464.52 sq.m.),4 Bedrooms,5 Bathrooms,3 Balconies,"Pooja Room,Store Room","400, Chikka Tirupathi, Bangalore",East,1 to 5 Year Old,"['Sarjapur', 'Hoskote', 'Banglore Int. Airport', 'Malpur', 'Whilefield']","The empyrean villa aurora is east facing villa. It is garden facing villa with two roads infant of the villa, 18 metres ( 60 feet ) main road in villa community and 12 meters ( 40 feet ) approach road to our villa in between these two roads there is a garden 
The reconstruction work done as per vasthu with spacious bed rooms with kitchen and utility
Excellent interior work done","['1 Water Purifier', 'Fan', '1 Fridge', '1 Dining Table', '4 Geyser', '1 Stove', 'Light', '1 AC', '1 Modular Kitchen', '1 Chimney', '1 Bed', '10 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No TV']",[],"['Connectivity4 out of 5', 'Lifestyle4.1 out of 5', 'Safety3.9 out of 5', 'Green Area4.1 out of 5']",U75470521,"₹8,888 /sqft",2 Floors
"4 Bedroom House for sale in 9th Phase JP Nagar, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-9th-phase-jp-nagar-bangalore-south-2800-sq-ft-r2-spid-V83590908,"9th Phase JP Nagar, Bangalore, Bangalore South",2.16 Crore,Plot area 600(55.74 sq.m.)Built-up area: 2800 sqft (260.13 sq.m.),4 Bedrooms,5 Bathrooms,3 Balconies,Pooja Room,"9th Phase JP Nagar, Bangalore",North,Within 3 months,"['Temple', 'State bank ATM', 'Canara bank ATM', 'Indian overseas bank ATM', 'Bank of baroda ATM', 'State bank of india ATM', 'Hdfc ATM', 'Canara bank ATM', 'Karnataka bank ATM', 'Canara bank ATM', ""Specialist's Dental Clinic"", 'Konanakunte Government Hospital', 'Rajnandani Hospital Bangalore', 'Soudhamini Kalyana Mantapa', 'Arpitha Medicals', 'Shyamala Medicals', 'BMTC Bus Depot 34', 'Corporation bank', 'State bank of india', 'Surabhi Veg', 'Thindi Potha', 'Kai Ruchi', 'Shiva Bar', 'Karanth Upahar', 'BLR Brewing Company', 'Snowora - Korean Snow Desert', 'Sindhoor', 'Kabab Mehal', 'GHPS', 'Mvs HPS Anjanapura', 'Florence Public School 4th Blk Anjanapura', 'GKHPS Hari Nagar', 'GULPS Hari Nagar', 'Sri Sarathy English School Kothanur', 'Ennar School Aadithya Nagar Kothanur', 'Srinidhi Public School', 'GHPS Kothanur', 'GHPS Kembathhalli', 'Jnanavikas HPS Kothanur', 'GHPS Jambusavari Dinne', 'Sri Maruthi Edu Trust School Kothanur', 'A E T School Sree Annapoornesh Kothanur', 'Glissy Public School Kothanur', 'Hani Foundation Montessori', 'GHPS', 'Orchids The International School', 'GHPS Chunchana Gatta', 'Vidyakirana Public School Kothanur', 'MOA Engineering', 'Grow Square Technologies']","Under construction 4-Floor bda home | jp nagar 9th phase  20x30 plot | bda approved | lift | 2-Car parking
 Built-Up area: 2800 sq. Ft | south facing plot, north entrance (Vastu) Ground: Parking + lift
 1st floor: Hall, kitchen, dining, washroom
 2nd & 3rd floor: 2 bedrooms each (Attached bath + balcony)
 4th floor: Home theatre, utility area + lift room
 Completion in 2 months site visits open now! Contact: Chanakya
Located in 9th phase jp nagar, bda layout.An impeccable opportunity is here for those who are looking to own an aesthetically designed independent house in , jp nagar 9th phase, bangalore which ensures a relaxed and comfortable stay. Being an independent villa it provides you a serene and tranquil environment with a modern setup. This house provides ample natural light and has good ventilation that invites comfort.Basic details:
You will love this house which features 4 bedrooms, 5 bathrooms and 3 balconies and a modular kitchen. The house is beautifully landscaped in a perfect location.Location:
The property is close to all basic facilities. The house is situated in a family friendly neighborhood. Moreover, the property has great connectivity with other parts of the city.-Major banks and atms located within a close radius
-Several schools located within proximity
-Easy access to public transportWait no more and schedule a visit today.
For more information, kindly contact the owner.",[],"['Water Storage', 'Recently Renovated']","['Connectivity4.1 out of 5', 'Lifestyle4.2 out of 5', 'Safety4.1 out of 5', 'Green Area4.1 out of 5']",V83590908,"₹36,000 /sqft",4 Floors
"10 Bedroom House for sale in Devasthanagalu, Varthur",https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-devasthanagalu-bangalore-east-1500-sq-ft-spid-N87376778,"Devasthanagalu, Varthur, Bangalore East",2.9 Crore,Plot area 1500(139.35 sq.m.),10 Bedrooms,9 Bathrooms,3+ Balconies,,"Devasthanagalu, Varthur",West,0 to 1 Year Old,"['Dharmaraya Swamy Temple', 'St. Theresa Novitiate', 'Venkateshwara Temple', 'Sri Kalikamba Temple', 'Kotak mahindra bank ATM', 'Hdfc bank ATM', 'Hair Loss Treatment in Bangalore - Hairline International', 'Revive Aesthetic Clinic Skin Hair And Laser Center', 'Government Hospital', 'Dentawell', 'Bangalore Pet Hospital', 'Vignesh medicals', '24x7 Pharmacy', 'Rajeshwari Pharma Shop', 'Shell', 'Canara bank', 'Karur vysya bank', 'Karur vyshya bank & atm', 'Vinayaka Cinema', 'Jagriti Theatre', 'Amphitheater', 'Unwind Island Restaurant', 'Damadhish Fine Dine - Family Restaurant', 'Saffron Patch', 'Udupi Delecacy', ""Domino's Pizza"", 'The Fat Chef', 'Cream Stone', 'Cafe Bel Cibo Patio', 'Toscano - Wine collection', 'Chez Mariannick', 'Daily Sushi', 'The Farmhouse Kitchen & Bakery', 'Bhagini Iris', 'Chez Mariannick Bakery & Restaurant', 'Mainland China', 'Chai Point', 'Sigree Global Grill', 'Bhagini Park', 'The Biere Street', 'Chin Chin', 'Cafe Coffee Day', ""Kolkata's"", 'Pizza Hut PHD', 'Wokantava', 'Neev School', 'Bright Beginnings Preschool', 'The Dunmore House Preschool', 'Chrysalis Kids']","Located in devasthanagalu, varthur, this newly built 10 bhk independent villa spans 1500 sq.Ft. With 9 bathrooms spread across its floors, the property is unfurnished and ready for immediate occupancy. Close to key amenities like temples, banks, and a clinic, it offers both convenience and a serene environment.","['10 Wardrobe', 'Fan', 'Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage']",[],N87376778,"₹19,333 /sqft",3 Floors
"6 Bedroom House for sale in Hennur Road, Bangalore",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-hennur-road-bangalore-north-7000-sq-ft-spid-H85228640,"Asha Township, Doddagubbi",5.5 Crore,Plot area 3960(367.9 sq.m.)Built-up area: 7000 sqft (650.32 sq.m.),6 Bedrooms,6 Bathrooms,3+ Balconies,"Pooja Room,Store Room,Study Room","No 82, Shivashakthi, Hennur Road, Bangalore",North-West,0 to 1 Year Old,[],"Excellent architect designed high end luxurious 4 bhk duplex villa built on a theme of traditional cum modern architecture, centre courtyard concept. Dc converted, e khatha located @ ashatownship phase-2, gated community, doddagubbi, bangalore 560077Club house with swimming pool, 30 ft wide road, house entry facing north, west facing site. Brand new.Land area 60x66=3960 sqft 
Double height hall, double height dining hall, centre courtyard yard, pooja room, open kitchen, 4 bedroom with attached bathrooms
Big home theatre room + gym room + office room
1 more bathroom for servants.11 feet tall inside floor to roof, 22 feet double height structure at living room, dining room and centre courtyard 
Entire house has been constructed with top quality red bricks, close to 7000 sq ft built up area.Semi-Furnished, vasthu compliant beautiful home with pooja room.
Excellent back courtyard with provision for lawn.
Store room attached to kitchen, utility area, dedicated electrical panel room, 14k liters sump capacity with submersible pump, centralized heat pump providing hot water to all bathrooms, solar water heater, booster pump, 3kw power solar. High end curtains covering all windows across the home, 2000 liters water storage at top, 
Fully compounded, security cameras covering entire perimeter area.This 6 bhk house for sale in doddagubbi is an ideal abode for a family. Even better, it is situated in one of the prominent localities of bangalore east. The floor plan additionally contains 6 bedrooms, 6 bathrooms and more than 3 balconies. All in all, the independent house is spread over a super built up area of 7000 sq.Ft. Another added advantage of this 0-1 year old house is that it is available for immediate possession. The type of ownership of this property is freehold. This independent house is available at an attractive price of 8 crore.","['2 Wardrobe', 'Fan', 'Light', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage', 'Rain Water Harvesting']","['Connectivity4.2 out of 5', 'Lifestyle4.1 out of 5', 'Safety4 out of 5', 'Green Area4 out of 5']",H85228640,"₹13,888 /sqft",2 Floors
"4 Bedroom House for sale in Bel Layout 2 Phase, Magadi Road",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-bel-layout-2-phase-bangalore-west-3400-sqft-spid-C90296052,"Bel Layout 2 Phase, Magadi Road, Bangalore West",3 Crore,Plot area 1200(111.48 sq.m.)Built-up area: 3400 sqft (315.87 sq.m.),4 Bedrooms,4 Bathrooms,No Balcony,"Pooja Room,Study Room","Bel Layout 2 Phase, Magadi Road",North-West,0 to 1 Year Old,"['Sollapuradamma Temple', 'Karnataka bank ATM', 'Canara bank ATM', 'Icici bank ATM', 'Anupama Hospital', 'Anupama hospital', 'S.S.G. Hospital', 'Ullalu Government Hospital', 'Manjunatha Dental clinic', 'Abivrud Cancer Care & Research Centre', 'Revathi Hospital', 'Noble Dental Care', 'Disha Kids Clinic', 'Anand Nursing Home and Lab', 'Dr. Mahesh Clinic', 'Panchamukhi Specialityu Hospital', 'Ashraya Medinova Pvt Ltd', 'CIIQ', 'Sri Lakshmi Venkateshwara Medicals', 'Shell gas station', 'Petronas CNG Gas station', 'HP petrol pump', 'Essar', 'Indian oil pump', 'Karnataka bank', 'State bank of india', 'Canara bank', 'Corporation bank', 'Federal bank', 'Andhra bank', 'Majushree veg', 'Sanidhi', 'Doddmane hotel', 'Indira Canteen', 'Just Cake', 'East West College of Nursing And Management', 'Government school', 'East West College of Pharmacy', 'East West Institue of Technology', 'Prajawal Nursing school', 'Orchids The International School']","30x40 duplex house for sale prakruthi nagar (Bel layout attached)
 Location: Prakruthi nagar (With bel layout access)
 Property type: Bbmp a khata & e-Swathu
 Built on 30x40 site
35 feet wide road
 Water & utilities
Kaveri water connection available
Borewell water available
10,000 litres sump capacity
2,000 litres overhead water tank
 Structure details
Ground floor: Parking + 1 bhk (Ideal for rental income)
1st & 2nd floor: Spacious 3.5 bhk duplex house
North-Facing main door
4.5 feet wide staircase
5-Person capacity lift
 Interior features
Wardrobes in all bedrooms
Dedicated study tables
Modern kitchen setup
 Nearby facilities (Within 1 km)
Schools
Colleges
Hospitals","['6 Wardrobe', 'Fan', 'Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Vaastu Compliant', 'High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Park', 'Low Density Society', 'Rain Water Harvesting']",[],C90296052,"₹25,000 /sqft",3 Floors
"4 Bedroom House for sale in Sarjapur Road, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-jrc-palladio-sarjapur-road-bangalore-east-2925-sq-ft-to-4996-sq-ft-npspid-M90722528,JRC Palladio,₹2.77  - 4.73 Cr,"2,925-4,996 sqft",5 Bedrooms,,,,"Sarjapur Road, Bangalore",,Under Construction,"['Sarjapura - Attibele Road', 'Gurukula Public School', 'Azim Premji University', 'Town Hospital Sarjapura', 'SRT Mall', 'Aurbis Business Parks', 'Kempegowda International Airport']","Jrc palladio is an exclusive collection of greco-Roman villas designed on the principles and concepts of the legendary italian architect andrea palladio. Each and every inch of these villas bring the legendary palladian inspiration to life and highlights its eternal magnificence. With the help of advanced technology, our team in india has worked in collaboration with architect from italy to put together the best efforts to create this master piece. 
 
The 3,4,4.5 bhk classical villas feature double-Height space living, dining with landscaped deck, open-To-Sky courtyard as well as a multipurpose bedroom with large open terrace to bring in the feel of holiday home for its residents, truly a palladian concept. 
 
More than 200 happy families already residing in phase 1 villas with fully functional clubhouse. The palladian concept of villa and a holiday home within is manifested in all the villas of this project featuring double height space living, double height windows, deck dining, open to sky courtyard etc. 
 
Roman clubhouse: 25000 sq.Ft clubhouse called club royale is inspired by pantheon of ancient rome and is a quintessential greco-Roman architecture with italian classical interior on 1 lakh sq-Footage of amenities, indoor sports and recreational facilities. 
 
Features: 
-Optimum use of space and functionality 
-Courtyard separating living and dining 
-Dining with landscaped deck 
-Multi-Purpose hall and large terrace 
-Wooden flooring in all bedrooms. 
-Location advantages: Nearby sarjapur road which is both central and convenient. 
-Within 10 to 30 minutes to all it hubs of bangalore: Sarjapur road, orr, electronic city and whitefield. 
-The major two landmarks - Wipro's azim premji university and the proposed infosys campus are in the very close vicinity of palladio. 
-Amidst it parks and international schools. 
-The project is at the heart of the silicon triangle of bangalore. 
 
Jrc palladio price list 
 
If you are looking for ready to move projects, jrc palladio is a right choice for you. Here, a 4bhk villa is available at a starting price of rs. 1.82 cr. 
 
Configuration size price 
4bhk villa 2,810 sq.Ft. Rs. 1.82 cr",[],[],"['Connectivity4.3 out of 5', 'Lifestyle4.3 out of 5', 'Safety4.2 out of 5', 'Green Area4 out of 5']",M90722528,"₹9,466 /sqft",
